datasetid, handle, sitename, age, depth, reason
3032,WOLVERIN,Wolverine Lake, -30, 0, COHMAP note from Eric in Github: https://github.com/PalEON-Project/stepps-baconizing/issues/6
982,GREENLK,Green Lake,-22,0,Commentary by Eric: https://github.com/PalEON-Project/stepps-baconizing/issues/4
