handle,datasetid,acc.mean.mod,acc.mean.old,acc.shape.mod,acc.shape.old,mem.strength,mem.mean,hiatus,thick,age.type,run,suitable,ndates,success,notes
GEORGE,869,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
MNBELG,15245,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
GOLDSMTH,967,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
GREENLK,982,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
GRICE,990,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
HANSEN,1004,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
HEMOPOND,1032,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
HORSE,1109,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
HORSHOHA,1110,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
HOSTAGE,1111,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
HUGLAKE,1134,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
HUSTLER,1138,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
IOLABOG,1151,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
IRVIN,1153,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
JACOBSN1,1163,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
JACOBSN2,3138,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
MNSHBL,15274,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
KEGAN,1446,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
KELLHOL1,1447,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
KELLHOL2,3452,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
KELLNERS,1448,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
KIRCHNR1,1520,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
KIRCHNR2,3455,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
KITCHNER,1524,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
KOTIRANT,1548,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
KRYZ,1552,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
KYLENLK,1564,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
LAKE16,1580,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
LAKE27,1581,3.02,15,0.53,0.9,2,0.5,NA,5,NA,FALSE,NA,NA,NA,.
